epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,15936.7,0.8471,0.84765,1.14062,0.98666,0.80166,0.86675,0.51717,1.47008,1.03196,1.43203,0.0005942,0.0005942,0.0005942
73,16157.9,0.85391,0.88231,1.15427,0.98012,0.8018,0.86678,0.5282,1.46213,1.00691,1.44485,0.0005744,0.0005744,0.0005744
74,16379.6,0.8732,0.91895,1.17884,0.98333,0.79913,0.85598,0.51937,1.42888,1.02259,1.44836,0.0005546,0.0005546,0.0005546
75,16601.1,0.86893,0.89153,1.17008,0.98991,0.7976,0.85544,0.51548,1.46326,1.03523,1.43773,0.0005348,0.0005348,0.0005348
76,16823,0.87961,0.90026,1.18411,0.97042,0.80005,0.85776,0.52116,1.44685,1.02827,1.42233,0.000515,0.000515,0.000515
77,17044.3,0.85166,0.89523,1.16687,0.98273,0.80217,0.86136,0.52561,1.43131,1.02001,1.40523,0.0004952,0.0004952,0.0004952
78,17265.5,0.80752,0.83171,1.13789,0.98666,0.80195,0.86435,0.52033,1.45501,1.02035,1.41758,0.0004754,0.0004754,0.0004754
79,17486.9,0.8618,0.88916,1.1609,0.99331,0.80455,0.86455,0.54841,1.35837,0.977,1.37308,0.0004556,0.0004556,0.0004556
80,17708.3,0.82851,0.8631,1.16093,0.98924,0.80488,0.85923,0.54595,1.35657,0.97045,1.35709,0.0004358,0.0004358,0.0004358
81,17929.8,0.85032,0.87589,1.16324,0.99662,0.79879,0.86306,0.55152,1.38145,0.9706,1.37967,0.000416,0.000416,0.000416
82,18150.3,0.81605,0.84025,1.13828,0.99766,0.79946,0.86658,0.53523,1.43045,0.9761,1.40871,0.0003962,0.0003962,0.0003962
83,18370.4,0.79014,0.79689,1.11657,0.99328,0.80121,0.86659,0.51604,1.47219,1.00439,1.41629,0.0003764,0.0003764,0.0003764
84,18589.2,0.83637,0.87453,1.15509,0.99267,0.80217,0.86707,0.52436,1.43,0.99037,1.38281,0.0003566,0.0003566,0.0003566
85,18807.8,0.79547,0.81853,1.11753,0.98343,0.80424,0.85546,0.51617,1.4661,1.02302,1.41047,0.0003368,0.0003368,0.0003368
86,19027.1,0.81124,0.83153,1.15171,0.98996,0.80198,0.85782,0.51788,1.46586,1.02082,1.4136,0.000317,0.000317,0.000317
87,19246.7,0.84049,0.86323,1.15498,0.9911,0.79946,0.85991,0.5464,1.38499,1.00487,1.38306,0.0002972,0.0002972,0.0002972
88,19465.1,0.77674,0.79492,1.1085,0.98994,0.79972,0.86381,0.53734,1.41687,0.98211,1.4018,0.0002774,0.0002774,0.0002774
89,19683.5,0.79032,0.79031,1.12806,0.99328,0.80084,0.86437,0.53472,1.40935,0.99432,1.39135,0.0002576,0.0002576,0.0002576
90,19901.7,0.79354,0.82348,1.13687,0.98666,0.80155,0.86904,0.53308,1.39316,0.97378,1.38076,0.0002378,0.0002378,0.0002378
91,20119.9,0.79549,0.82766,1.17071,0.98349,0.79946,0.87161,0.54349,1.38434,0.96313,1.38557,0.000218,0.000218,0.000218
92,20336.8,0.77222,0.78639,1.16029,0.99194,0.79675,0.8672,0.51776,1.44647,1.02463,1.41385,0.0001982,0.0001982,0.0001982
93,28564.5,0.7827,0.77578,1.17927,0.98589,0.80217,0.86668,0.53079,1.42349,1.01703,1.39932,0.0001784,0.0001784,0.0001784
94,28785.8,0.76838,0.75164,1.1647,0.98525,0.80217,0.87103,0.52886,1.43559,0.97153,1.40818,0.0001586,0.0001586,0.0001586
95,29012.9,0.76403,0.74612,1.15201,0.98665,0.80104,0.87325,0.53281,1.40927,0.97017,1.38726,0.0001388,0.0001388,0.0001388
96,29236.5,0.75635,0.74294,1.1567,0.98995,0.80053,0.87035,0.54748,1.37673,0.9598,1.36802,0.000119,0.000119,0.000119
97,29460.3,0.73268,0.73464,1.14275,0.98994,0.80043,0.87137,0.5332,1.40238,0.99036,1.38517,9.92e-05,9.92e-05,9.92e-05
98,29690.6,0.7309,0.72066,1.14689,0.99257,0.80217,0.86708,0.54755,1.3681,0.99164,1.36298,7.94e-05,7.94e-05,7.94e-05
99,29911.7,0.71354,0.7019,1.13632,0.98712,0.80217,0.87041,0.53676,1.39276,0.98355,1.38015,5.96e-05,5.96e-05,5.96e-05
100,30132.9,0.73372,0.72436,1.14892,0.99264,0.80217,0.87037,0.54048,1.38932,0.98913,1.38475,3.98e-05,3.98e-05,3.98e-05
